code,kind,term,parent_id,modifier_4,modifier_5
H328,category,Other chorioretinal disorders in diseases classified elsewhere,H32,,
H33,category,Retinal detachments and breaks,H30-H36,,
H330,category,Retinal detachment with retinal break,H33,,
H331,category,Retinoschisis and retinal cysts,H33,,
H332,category,Serous retinal detachment,H33,,
H333,category,Retinal breaks without detachment,H33,,
H334,category,Traction detachment of retina,H33,,
H335,category,Other retinal detachments,H33,,
H34,category,Retinal vascular occlusions,H30-H36,,
H340,category,Transient retinal artery occlusion,H34,,
H341,category,Central retinal artery occlusion,H34,,
H342,category,Other retinal artery occlusions,H34,,
H348,category,Other retinal vascular occlusions,H34,,
H349,category,"Retinal vascular occlusion, unspecified",H34,,
H35,category,Other retinal disorders,H30-H36,,
H350,category,Background retinopathy and retinal vascular changes,H35,,
H351,category,Retinopathy of prematurity,H35,,
H352,category,Other proliferative retinopathy,H35,,
H353,category,Degeneration of macula and posterior pole,H35,,
H354,category,Peripheral retinal degeneration,H35,,
H355,category,Hereditary retinal dystrophy,H35,,
H356,category,Retinal haemorrhage,H35,,
H357,category,Separation of retinal layers,H35,,
H358,category,Other specified retinal disorders,H35,,
H359,category,"Retinal disorder, unspecified",H35,,
H36,category,Retinal disorders in diseases classified elsewhere,H30-H36,,
H360,category,Diabetic retinopathy (E10-E14 with common fourth character .3†),H36,,
H368,category,Other retinal disorders in diseases classified elsewhere,H36,,
H40-H42,block,Glaucoma,VII,,
H40,category,Glaucoma,H40-H42,,
H400,category,Glaucoma suspect,H40,,
H401,category,Primary open-angle glaucoma,H40,,
H402,category,Primary angle-closure glaucoma,H40,,
H403,category,Glaucoma secondary to eye trauma,H40,,
H404,category,Glaucoma secondary to eye inflammation,H40,,
H405,category,Glaucoma secondary to other eye disorders,H40,,
H406,category,Glaucoma secondary to drugs,H40,,
H408,category,Other glaucoma,H40,,
H409,category,"Glaucoma, unspecified",H40,,
H42,category,Glaucoma in diseases classified elsewhere,H40-H42,,
H420,category,"Glaucoma in endocrine, nutritional and metabolic diseases",H42,,
H428,category,Glaucoma in other diseases classified elsewhere,H42,,
H43-H45,block,Disorders of vitreous body and globe,VII,,
H43,category,Disorders of vitreous body,H43-H45,,
H430,category,Vitreous prolapse,H43,,
H431,category,Vitreous haemorrhage,H43,,
H432,category,Crystalline deposits in vitreous body,H43,,
H433,category,Other vitreous opacities,H43,,
H438,category,Other disorders of vitreous body,H43,,
H439,category,"Disorder of vitreous body, unspecified",H43,,
H44,category,Disorders of globe,H43-H45,,
H440,category,Purulent endophthalmitis,H44,,
H441,category,Other endophthalmitis,H44,,
H442,category,Degenerative myopia,H44,,
H443,category,Other degenerative disorders of globe,H44,,
H444,category,Hypotony of eye,H44,,
H445,category,Degenerated conditions of globe,H44,,
H446,category,"Retained (old) intraocular foreign body, magnetic",H44,,
H447,category,"Retained (old) intraocular foreign body, nonmagnetic",H44,,
H448,category,Other disorders of globe,H44,,
H449,category,"Disorder of globe, unspecified",H44,,
H45,category,Disorders of vitreous body and globe in diseases classified elsewhere,H43-H45,,
H450,category,Vitreous haemorrhage in diseases classified elsewhere,H45,,
H451,category,Endophthalmitis in diseases classified elsewhere,H45,,
H458,category,Other disorders of vitreous body and globe in diseases classified elsewhere,H45,,
H46-H48,block,Disorders of optic nerve and visual pathways,VII,,
H46,category,Optic neuritis,H46-H48,,
H47,category,Other disorders of optic [2nd] nerve and visual pathways,H46-H48,,
H470,category,"Disorders of optic nerve, not elsewhere classified",H47,,
H471,category,"Papilloedema, unspecified",H47,,
H472,category,Optic atrophy,H47,,
H473,category,Other disorders of optic disc,H47,,
H474,category,Disorders of optic chiasm,H47,,
H475,category,Disorders of other visual pathways,H47,,
H476,category,Disorders of visual cortex,H47,,
H477,category,"Disorder of visual pathways, unspecified",H47,,
H48,category,Disorders of optic [2nd] nerve and visual pathways in diseases classified elsewhere,H46-H48,,
H480,category,Optic atrophy in diseases classified elsewhere,H48,,
H481,category,Retrobulbar neuritis in diseases classified elsewhere,H48,,
H488,category,Other disorders of optic nerve and visual pathways in diseases classified elsewhere,H48,,
H49-H52,block,"Disorders of ocular muscles, binocular movement, accommodation and refraction",VII,,
H49,category,Paralytic strabismus,H49-H52,,
H490,category,Third [oculomotor] nerve palsy,H49,,
H491,category,Fourth [trochlear] nerve palsy,H49,,
H492,category,Sixth [abducent] nerve palsy,H49,,
H493,category,Total (external) ophthalmoplegia,H49,,
H494,category,Progressive external ophthalmoplegia,H49,,
H498,category,Other paralytic strabismus,H49,,
H499,category,"Paralytic strabismus, unspecified",H49,,
H50,category,Other strabismus,H49-H52,,
H500,category,Convergent concomitant strabismus,H50,,
H501,category,Divergent concomitant strabismus,H50,,
H502,category,Vertical strabismus,H50,,
H503,category,Intermittent heterotropia,H50,,
H504,category,Other and unspecified heterotropia,H50,,
H505,category,Heterophoria,H50,,
H506,category,Mechanical strabismus,H50,,
H508,category,Other specified strabismus,H50,,
H509,category,"Strabismus, unspecified",H50,,
H51,category,Other disorders of binocular movement,H49-H52,,
H510,category,Palsy of conjugate gaze,H51,,
H511,category,Convergence insufficiency and excess,H51,,
H512,category,Internuclear ophthalmoplegia,H51,,
H518,category,Other specified disorders of binocular movement,H51,,
H519,category,"Disorder of binocular movement, unspecified",H51,,
H52,category,Disorders of refraction and accommodation,H49-H52,,
H520,category,Hypermetropia,H52,,
H521,category,Myopia,H52,,
H522,category,Astigmatism,H52,,
H523,category,Anisometropia and aniseikonia,H52,,
H524,category,Presbyopia,H52,,
H525,category,Disorders of accommodation,H52,,
H526,category,Other disorders of refraction,H52,,
H527,category,"Disorder of refraction, unspecified",H52,,
H53-H54,block,Visual disturbances and blindness,VII,,
H53,category,Visual disturbances,H53-H54,,
H530,category,Amblyopia ex anopsia,H53,,
H531,category,Subjective visual disturbances,H53,,
H532,category,Diplopia,H53,,
H533,category,Other disorders of binocular vision,H53,,
H534,category,Visual field defects,H53,,
H535,category,Colour vision deficiencies,H53,,
H536,category,Night blindness,H53,,
H538,category,Other visual disturbances,H53,,
H539,category,"Visual disturbance, unspecified",H53,,
H54,category,Visual impairment including blindness (binocular or monocular),H53-H54,,
H540,category,"Blindness, binocular",H54,,
H541,category,"Severe visual impairment, binocular",H54,,
H542,category,"Moderate visual impairment, binocular",H54,,
H543,category,"Mild or no visual impairment, binocular",H54,,
H544,category,"Blindness, monocular",H54,,
H545,category,"Severe visual impairment, monocular",H54,,
H546,category,"Moderate visual impairment, monocular",H54,,
H549,category,Unspecified visual impairment (binocular),H54,,
H55-H59,block,Other disorders of eye and adnexa,VII,,
H55,category,Nystagmus and other irregular eye movements,H55-H59,,
H57,category,Other disorders of eye and adnexa,H55-H59,,
H570,category,Anomalies of pupillary function,H57,,
H571,category,Ocular pain,H57,,
H578,category,Other specified disorders of eye and adnexa,H57,,
H579,category,"Disorder of eye and adnexa, unspecified",H57,,
H58,category,Other disorders of eye and adnexa in diseases classified elsewhere,H55-H59,,
H580,category,Anomalies of pupillary function in diseases classified elsewhere,H58,,
H581,category,Visual disturbances in diseases classified elsewhere,H58,,
H588,category,Other specified disorders of eye and adnexa in diseases classified elsewhere,H58,,
H59,category,"Postprocedural disorders of eye and adnexa, not elsewhere classified",H55-H59,,
H590,category,Keratopathy (bullous aphakic) following cataract surgery,H59,,
H598,category,Other postprocedural disorders of eye and adnexa,H59,,
H599,category,"Postprocedural disorder of eye and adnexa, unspecified",H59,,
VIII,chapter,Diseases of the ear and mastoid process,,,
H60-H62,block,Diseases of external ear,VIII,,
H60,category,Otitis externa,H60-H62,,
H600,category,Abscess of external ear,H60,,
H601,category,Cellulitis of external ear,H60,,
H602,category,Malignant otitis externa,H60,,
H603,category,Other infective otitis externa,H60,,
H604,category,Cholesteatoma of external ear,H60,,
H605,category,"Acute otitis externa, noninfective",H60,,
H608,category,Other otitis externa,H60,,
H609,category,"Otitis externa, unspecified",H60,,
H61,category,Other disorders of external ear,H60-H62,,
H610,category,Perichondritis of external ear,H61,,
H611,category,Noninfective disorders of pinna,H61,,
H612,category,Impacted cerumen,H61,,
H613,category,Acquired stenosis of external ear canal,H61,,
H618,category,Other specified disorders of external ear,H61,,
H619,category,"Disorder of external ear, unspecified",H61,,
H62,category,Disorders of external ear in diseases classified elsewhere,H60-H62,,
H620,category,Otitis externa in bacterial diseases classified elsewhere,H62,,
H621,category,Otitis externa in viral diseases classified elsewhere,H62,,
H622,category,Otitis externa in mycoses,H62,,
H623,category,Otitis externa in other infectious and parasitic diseases classified elsewhere,H62,,
H624,category,Otitis externa in other diseases classified elsewhere,H62,,
H628,category,Other disorders of external ear in diseases classified elsewhere,H62,,
H65-H75,block,Diseases of middle ear and mastoid,VIII,,
H65,category,Nonsuppurative otitis media,H65-H75,,
H650,category,Acute serous otitis media,H65,,
H651,category,Other acute nonsuppurative otitis media,H65,,
H652,category,Chronic serous otitis media,H65,,
H653,category,Chronic mucoid otitis media,H65,,
H654,category,Other chronic nonsuppurative otitis media,H65,,
H659,category,"Nonsuppurative otitis media, unspecified",H65,,
H66,category,Suppurative and unspecified otitis media,H65-H75,,
H660,category,Acute suppurative otitis media,H66,,
H661,category,Chronic tubotympanic suppurative otitis media,H66,,
H662,category,Chronic atticoantral suppurative otitis media,H66,,
H663,category,Other chronic suppurative otitis media,H66,,
H664,category,"Suppurative otitis media, unspecified",H66,,
H669,category,"Otitis media, unspecified",H66,,
H67,category,Otitis media in diseases classified elsewhere,H65-H75,,
H670,category,Otitis media in bacterial diseases classified elsewhere,H67,,
H671,category,Otitis media in viral diseases classified elsewhere,H67,,
H678,category,Otitis media in other diseases classified elsewhere,H67,,
H68,category,Eustachian salpingitis and obstruction,H65-H75,,
H680,category,Eustachian salpingitis,H68,,
H681,category,Obstruction of Eustachian tube,H68,,
H69,category,Other disorders of Eustachian tube,H65-H75,,
H690,category,Patulous Eustachian tube,H69,,
H698,category,Other specified disorders of Eustachian tube,H69,,
H699,category,"Eustachian tube disorder, unspecified",H69,,
H70,category,Mastoiditis and related conditions,H65-H75,,
H700,category,Acute mastoiditis,H70,,
H701,category,Chronic mastoiditis,H70,,
H702,category,Petrositis,H70,,
H708,category,Other mastoiditis and related conditions,H70,,
H709,category,"Mastoiditis, unspecified",H70,,
H71,category,Cholesteatoma of middle ear,H65-H75,,
H72,category,Perforation of tympanic membrane,H65-H75,,
H720,category,Central perforation of tympanic membrane,H72,,
H721,category,Attic perforation of tympanic membrane,H72,,
H722,category,Other marginal perforations of tympanic membrane,H72,,
H728,category,Other perforations of tympanic membrane,H72,,
H729,category,"Perforation of tympanic membrane, unspecified",H72,,
H73,category,Other disorders of tympanic membrane,H65-H75,,
H730,category,Acute myringitis,H73,,
H731,category,Chronic myringitis,H73,,
H738,category,Other specified disorders of tympanic membrane,H73,,
H739,category,"Disorder of tympanic membrane, unspecified",H73,,
H74,category,Other disorders of middle ear and mastoid,H65-H75,,
H740,category,Tympanosclerosis,H74,,
H741,category,Adhesive middle ear disease,H74,,
H742,category,Discontinuity and dislocation of ear ossicles,H74,,
H743,category,Other acquired abnormalities of ear ossicles,H74,,
H744,category,Polyp of middle ear,H74,,
H748,category,Other specified disorders of middle ear and mastoid,H74,,
H749,category,"Disorder of middle ear and mastoid, unspecified",H74,,
H75,category,Other disorders of middle ear and mastoid in diseases classified elsewhere,H65-H75,,
H750,category,Mastoiditis in infectious and parasitic diseases classified elsewhere,H75,,
H758,category,Other specified disorders of middle ear and mastoid in diseases classified elsewhere,H75,,
H80-H83,block,Diseases of inner ear,VIII,,
H80,category,Otosclerosis,H80-H83,,
H800,category,"Otosclerosis involving oval window, nonobliterative",H80,,
H801,category,"Otosclerosis involving oval window, obliterative",H80,,
H802,category,Cochlear otosclerosis,H80,,
H808,category,Other otosclerosis,H80,,
H809,category,"Otosclerosis, unspecified",H80,,
H81,category,Disorders of vestibular function,H80-H83,,
H810,category,Ménière disease,H81,,
H811,category,Benign paroxysmal vertigo,H81,,
H812,category,Vestibular neuronitis,H81,,
H813,category,Other peripheral vertigo,H81,,
H814,category,Vertigo of central origin,H81,,
H818,category,Other disorders of vestibular function,H81,,
H819,category,"Disorder of vestibular function, unspecified",H81,,
H82,category,Vertiginous syndromes in diseases classified elsewhere,H80-H83,,
H83,category,Other diseases of inner ear,H80-H83,,
H830,category,Labyrinthitis,H83,,
H831,category,Labyrinthine fistula,H83,,
H832,category,Labyrinthine dysfunction,H83,,
H833,category,Noise effects on inner ear,H83,,
H838,category,Other specified diseases of inner ear,H83,,
H839,category,"Disease of inner ear, unspecified",H83,,
H90-H95,block,Other disorders of ear,VIII,,
H90,category,Conductive and sensorineural hearing loss,H90-H95,,
H900,category,"Conductive hearing loss, bilateral",H90,,
H901,category,"Conductive hearing loss, unilateral with unrestricted hearing on the contralateral side",H90,,
H902,category,"Conductive hearing loss, unspecified",H90,,
H903,category,"Sensorineural hearing loss, bilateral",H90,,
H904,category,"Sensorineural hearing loss, unilateral with unrestricted hearing on the contralateral side",H90,,
H905,category,"Sensorineural hearing loss, unspecified",H90,,
H906,category,"Mixed conductive and sensorineural hearing loss, bilateral",H90,,
H907,category,"Mixed conductive and sensorineural hearing loss, unilateral with unrestricted hearing on the contralateral side",H90,,
H908,category,"Mixed conductive and sensorineural hearing loss, unspecified",H90,,
H91,category,Other hearing loss,H90-H95,,
H910,category,Ototoxic hearing loss,H91,,
H911,category,Presbycusis,H91,,
H912,category,Sudden idiopathic hearing loss,H91,,
H913,category,"Deaf mutism, not elsewhere classified",H91,,
H918,category,Other specified hearing loss,H91,,
H919,category,"Hearing loss, unspecified",H91,,
H92,category,Otalgia and effusion of ear,H90-H95,,
H920,category,Otalgia,H92,,
H921,category,Otorrhoea,H92,,
H922,category,Otorrhagia,H92,,
H93,category,"Other disorders of ear, not elsewhere classified",H90-H95,,
H930,category,Degenerative and vascular disorders of ear,H93,,
H931,category,Tinnitus,H93,,
H932,category,Other abnormal auditory perceptions,H93,,
H933,category,Disorders of acoustic nerve,H93,,
H938,category,Other specified disorders of ear,H93,,
H939,category,"Disorder of ear, unspecified",H93,,
H94,category,Other disorders of ear in diseases classified elsewhere,H90-H95,,
H940,category,Acoustic neuritis in infectious and parasitic diseases classified elsewhere,H94,,
H948,category,Other specified disorders of ear in diseases classified elsewhere,H94,,
H95,category,"Postprocedural disorders of ear and mastoid process, not elsewhere classified",H90-H95,,
H950,category,Recurrent cholesteatoma of postmastoidectomy cavity,H95,,
H951,category,Other disorders following mastoidectomy,H95,,
H958,category,Other postprocedural disorders of ear and mastoid process,H95,,
H959,category,"Postprocedural disorder of ear and mastoid process, unspecified",H95,,
IX,chapter,Diseases of the circulatory system,,,
I00-I02,block,Acute rheumatic fever,IX,,
I00,category,Rheumatic fever without mention of heart involvement,I00-I02,,
I01,category,Rheumatic fever with heart involvement,I00-I02,,
I010,category,Acute rheumatic pericarditis,I01,,
I011,category,Acute rheumatic endocarditis,I01,,
I012,category,Acute rheumatic myocarditis,I01,,
I018,category,Other acute rheumatic heart disease,I01,,
I019,category,"Acute rheumatic heart disease, unspecified",I01,,
I02,category,Rheumatic chorea,I00-I02,,
I020,category,Rheumatic chorea with heart involvement,I02,,
I029,category,Rheumatic chorea without heart involvement,I02,,
I05-I09,block,Chronic rheumatic heart diseases,IX,,
I05,category,Rheumatic mitral valve diseases,I05-I09,,
I050,category,Mitral stenosis,I05,,
I051,category,Rheumatic mitral insufficiency,I05,,
I052,category,Mitral stenosis with insufficiency,I05,,
I058,category,Other mitral valve diseases,I05,,
I059,category,"Mitral valve disease, unspecified",I05,,
I06,category,Rheumatic aortic valve diseases,I05-I09,,
I060,category,Rheumatic aortic stenosis,I06,,
I061,category,Rheumatic aortic insufficiency,I06,,
I062,category,Rheumatic aortic stenosis with insufficiency,I06,,
I068,category,Other rheumatic aortic valve diseases,I06,,
I069,category,"Rheumatic aortic valve disease, unspecified",I06,,
I07,category,Rheumatic tricuspid valve diseases,I05-I09,,
I070,category,Tricuspid stenosis,I07,,
I071,category,Tricuspid insufficiency,I07,,
I072,category,Tricuspid stenosis with insufficiency,I07,,
I078,category,Other tricuspid valve diseases,I07,,
I079,category,"Tricuspid valve disease, unspecified",I07,,
I08,category,Multiple valve diseases,I05-I09,,
I080,category,Disorders of both mitral and aortic valves,I08,,
I081,category,Disorders of both mitral and tricuspid valves,I08,,
I082,category,Disorders of both aortic and tricuspid valves,I08,,
I083,category,"Combined disorders of mitral, aortic and tricuspid valves",I08,,
I088,category,Other multiple valve diseases,I08,,
I089,category,"Multiple valve disease, unspecified",I08,,
I09,category,Other rheumatic heart diseases,I05-I09,,
I090,category,Rheumatic myocarditis,I09,,
I091,category,"Rheumatic diseases of endocardium, valve unspecified",I09,,
I092,category,Chronic rheumatic pericarditis,I09,,
I098,category,Other specified rheumatic heart diseases,I09,,
I099,category,"Rheumatic heart disease, unspecified",I09,,
I10-I15,block,Hypertensive diseases,IX,,
I10,category,Essential (primary) hypertension,I10-I15,,
I11,category,Hypertensive heart disease,I10-I15,,
I110,category,Hypertensive heart disease with (congestive) heart failure,I11,,
I119,category,Hypertensive heart disease without (congestive) heart failure,I11,,
I12,category,Hypertensive renal disease,I10-I15,,
I120,category,Hypertensive renal disease with renal failure,I12,,
I129,category,Hypertensive renal disease without renal failure,I12,,
I13,category,Hypertensive heart and renal disease,I10-I15,,
I130,category,Hypertensive heart and renal disease with (congestive) heart failure,I13,,
I131,category,Hypertensive heart and renal disease with renal failure,I13,,
I132,category,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure,I13,,
I139,category,"Hypertensive heart and renal disease, unspecified",I13,,
I15,category,Secondary hypertension,I10-I15,,
I150,category,Renovascular hypertension,I15,,
I151,category,Hypertension secondary to other renal disorders,I15,,
I152,category,Hypertension secondary to endocrine disorders,I15,,
I158,category,Other secondary hypertension,I15,,
I159,category,"Secondary hypertension, unspecified",I15,,
I20-I25,block,Ischaemic heart diseases,IX,,
I20,category,Angina pectoris,I20-I25,,
I200,category,Unstable angina,I20,,
I201,category,Angina pectoris with documented spasm,I20,,
I208,category,Other forms of angina pectoris,I20,,
I209,category,"Angina pectoris, unspecified",I20,,
I21,category,Acute myocardial infarction,I20-I25,,
I210,category,Acute transmural myocardial infarction of anterior wall,I21,,
I211,category,Acute transmural myocardial infarction of inferior wall,I21,,
I212,category,Acute transmural myocardial infarction of other sites,I21,,
I213,category,Acute transmural myocardial infarction of unspecified site,I21,,
I214,category,Acute subendocardial myocardial infarction,I21,,
I219,category,"Acute myocardial infarction, unspecified",I21,,
I22,category,Subsequent myocardial infarction,I20-I25,,
I220,category,Subsequent myocardial infarction of anterior wall,I22,,
I221,category,Subsequent myocardial infarction of inferior wall,I22,,
I228,category,Subsequent myocardial infarction of other sites,I22,,
I229,category,Subsequent myocardial infarction of unspecified site,I22,,
I23,category,Certain current complications following acute myocardial infarction,I20-I25,,
I230,category,Haemopericardium as current complication following acute myocardial infarction,I23,,
I231,category,Atrial septal defect as current complication following acute myocardial infarction,I23,,
I232,category,Ventricular septal defect as current complication following acute myocardial infarction,I23,,
I233,category,Rupture of cardiac wall without haemopericardium as current complication following acute myocardial infarction,I23,,
I234,category,Rupture of chordae tendineae as current complication following acute myocardial infarction,I23,,
I235,category,Rupture of papillary muscle as current complication following acute myocardial infarction,I23,,
I236,category,"Thrombosis of atrium, auricular appendage, and ventricle as current complications following acute myocardial infarction",I23,,
I238,category,Other current complications following acute myocardial infarction,I23,,
I24,category,Other acute ischaemic heart diseases,I20-I25,,
I240,category,Coronary thrombosis not resulting in myocardial infarction,I24,,
I241,category,Dressler syndrome,I24,,
I248,category,Other forms of acute ischaemic heart disease,I24,,
I249,category,"Acute ischaemic heart disease, unspecified",I24,,
I25,category,Chronic ischaemic heart disease,I20-I25,,
I250,category,"Atherosclerotic cardiovascular disease, so described",I25,,
I251,category,Atherosclerotic heart disease,I25,,
I252,category,Old myocardial infarction,I25,,
I253,category,Aneurysm of heart,I25,,
I254,category,Coronary artery aneurysm and dissection,I25,,
I255,category,Ischaemic cardiomyopathy,I25,,
I256,category,Silent myocardial ischaemia,I25,,
I258,category,Other forms of chronic ischaemic heart disease,I25,,
I259,category,"Chronic ischaemic heart disease, unspecified",I25,,
I26-I28,block,Pulmonary heart disease and diseases of pulmonary circulation,IX,,
I26,category,Pulmonary embolism,I26-I28,,
I260,category,Pulmonary embolism with mention of acute cor pulmonale,I26,,
I269,category,Pulmonary embolism without mention of acute cor pulmonale,I26,,
I27,category,Other pulmonary heart diseases,I26-I28,,
I270,category,Primary pulmonary hypertension,I27,,
I271,category,Kyphoscoliotic heart disease,I27,,
I272,category,Other secondary pulmonary hypertension,I27,,
I278,category,Other specified pulmonary heart diseases,I27,,
I279,category,"Pulmonary heart disease, unspecified",I27,,
I28,category,Other diseases of pulmonary vessels,I26-I28,,
I280,category,Arteriovenous fistula of pulmonary vessels,I28,,
I281,category,Aneurysm of pulmonary artery,I28,,
I288,category,Other specified diseases of pulmonary vessels,I28,,
I289,category,"Disease of pulmonary vessels, unspecified",I28,,
I30-I52,block,Other forms of heart disease,IX,,
I30,category,Acute pericarditis,I30-I52,,
I300,category,Acute nonspecific idiopathic pericarditis,I30,,
I301,category,Infective pericarditis,I30,,
I308,category,Other forms of acute pericarditis,I30,,
I309,category,"Acute pericarditis, unspecified",I30,,
I31,category,Other diseases of pericardium,I30-I52,,
I310,category,Chronic adhesive pericarditis,I31,,
I311,category,Chronic constrictive pericarditis,I31,,
I312,category,"Haemopericardium, not elsewhere classified",I31,,
I313,category,Pericardial effusion (noninflammatory),I31,,
I318,category,Other specified diseases of pericardium,I31,,
I319,category,"Disease of pericardium, unspecified",I31,,
I32,category,Pericarditis in diseases classified elsewhere,I30-I52,,
I320,category,Pericarditis in bacterial diseases classified elsewhere,I32,,
I321,category,Pericarditis in other infectious and parasitic diseases classified elsewhere,I32,,
I328,category,Pericarditis in other diseases classified elsewhere,I32,,
I33,category,Acute and subacute endocarditis,I30-I52,,
I330,category,Acute and subacute infective endocarditis,I33,,
I339,category,"Acute endocarditis, unspecified",I33,,
I34,category,Nonrheumatic mitral valve disorders,I30-I52,,
I340,category,Mitral (valve) insufficiency,I34,,
I341,category,Mitral (valve) prolapse,I34,,
I342,category,Nonrheumatic mitral (valve) stenosis,I34,,
I348,category,Other nonrheumatic mitral valve disorders,I34,,
I349,category,"Nonrheumatic mitral valve disorder, unspecified",I34,,
I35,category,Nonrheumatic aortic valve disorders,I30-I52,,
I350,category,Aortic (valve) stenosis,I35,,
I351,category,Aortic (valve) insufficiency,I35,,
I352,category,Aortic (valve) stenosis with insufficiency,I35,,
I358,category,Other aortic valve disorders,I35,,
I359,category,"Aortic valve disorder, unspecified",I35,,
I36,category,Nonrheumatic tricuspid valve disorders,I30-I52,,
I360,category,Nonrheumatic tricuspid (valve) stenosis,I36,,
I361,category,Nonrheumatic tricuspid (valve) insufficiency,I36,,
I362,category,Nonrheumatic tricuspid (valve) stenosis with insufficiency,I36,,
I368,category,Other nonrheumatic tricuspid valve disorders,I36,,
I369,category,"Nonrheumatic tricuspid valve disorder, unspecified",I36,,
I37,category,Pulmonary valve disorders,I30-I52,,
I370,category,Pulmonary valve stenosis,I37,,
I371,category,Pulmonary valve insufficiency,I37,,
I372,category,Pulmonary valve stenosis with insufficiency,I37,,
I378,category,Other pulmonary valve disorders,I37,,
I379,category,"Pulmonary valve disorder, unspecified",I37,,
I38,category,"Endocarditis, valve unspecified",I30-I52,,
I39,category,Endocarditis and heart valve disorders in diseases classified elsewhere,I30-I52,,
I390,category,Mitral valve disorders in diseases classified elsewhere,I39,,
I391,category,Aortic valve disorders in diseases classified elsewhere,I39,,
I392,category,Tricuspid valve disorders in diseases classified elsewhere,I39,,
I393,category,Pulmonary valve disorders in diseases classified elsewhere,I39,,
I394,category,Multiple valve disorders in diseases classified elsewhere,I39,,
I398,category,"Endocarditis, valve unspecified, in diseases classified elsewhere",I39,,
I40,category,Acute myocarditis,I30-I52,,
I400,category,Infective myocarditis,I40,,
I401,category,Isolated myocarditis,I40,,
I408,category,Other acute myocarditis,I40,,
I409,category,"Acute myocarditis, unspecified",I40,,
I41,category,Myocarditis in diseases classified elsewhere,I30-I52,,
I410,category,Myocarditis in bacterial diseases classified elsewhere,I41,,
I411,category,Myocarditis in viral diseases classified elsewhere,I41,,
I412,category,Myocarditis in other infectious and parasitic diseases classified elsewhere,I41,,
I418,category,Myocarditis in other diseases classified elsewhere,I41,,
I42,category,Cardiomyopathy,I30-I52,,
I420,category,Dilated cardiomyopathy,I42,,
I421,category,Obstructive hypertrophic cardiomyopathy,I42,,
I422,category,Other hypertrophic cardiomyopathy,I42,,
I423,category,Endomyocardial (eosinophilic) disease,I42,,
I424,category,Endocardial fibroelastosis,I42,,
I425,category,Other restrictive cardiomyopathy,I42,,
I426,category,Alcoholic cardiomyopathy,I42,,
I427,category,Cardiomyopathy due to drugs and other external agents,I42,,
I428,category,Other cardiomyopathies,I42,,
I429,category,"Cardiomyopathy, unspecified",I42,,
I43,category,Cardiomyopathy in diseases classified elsewhere,I30-I52,,
I430,category,Cardiomyopathy in infectious and parasitic diseases classified elsewhere,I43,,
I431,category,Cardiomyopathy in metabolic diseases,I43,,
I432,category,Cardiomyopathy in nutritional diseases,I43,,
I438,category,Cardiomyopathy in other diseases classified elsewhere,I43,,
I44,category,Atrioventricular and left bundle-branch block,I30-I52,,
I440,category,"Atrioventricular block, first degree",I44,,
I441,category,"Atrioventricular block, second degree",I44,,
I442,category,"Atrioventricular block, complete",I44,,
I443,category,Other and unspecified atrioventricular block,I44,,
I444,category,Left anterior fascicular block,I44,,
I445,category,Left posterior fascicular block,I44,,
I446,category,Other and unspecified fascicular block,I44,,
I447,category,"Left bundle-branch block, unspecified",I44,,
I45,category,Other conduction disorders,I30-I52,,
I450,category,Right fascicular block,I45,,
I451,category,Other and unspecified right bundle-branch block,I45,,
I452,category,Bifascicular block,I45,,
I453,category,Trifascicular block,I45,,
I454,category,Nonspecific intraventricular block,I45,,
I455,category,Other specified heart block,I45,,
I456,category,Pre-excitation syndrome,I45,,
I458,category,Other specified conduction disorders,I45,,
I459,category,"Conduction disorder, unspecified",I45,,
I46,category,Cardiac arrest,I30-I52,,
I460,category,Cardiac arrest with successful resuscitation,I46,,
I461,category,"Sudden cardiac death, so described",I46,,
I469,category,"Cardiac arrest, unspecified",I46,,
I47,category,Paroxysmal tachycardia,I30-I52,,
I470,category,Re-entry ventricular arrhythmia,I47,,
I471,category,Supraventricular tachycardia,I47,,
I472,category,Ventricular tachycardia,I47,,
I479,category,"Paroxysmal tachycardia, unspecified",I47,,
I48,category,Atrial fibrillation and flutter,I30-I52,,
I480,category,Paroxysmal atrial fibrillation,I48,,
I481,category,Persistent atrial fibrillation,I48,,
I482,category,Chronic atrial fibrillation,I48,,
I483,category,Typical atrial flutter,I48,,
I484,category,Atypical atrial flutter,I48,,
I489,category,"Atrial fibrillation and atrial flutter, unspecified",I48,,
I49,category,Other cardiac arrhythmias,I30-I52,,
I490,category,Ventricular fibrillation and flutter,I49,,
I491,category,Atrial premature depolarization,I49,,
I492,category,Junctional premature depolarization,I49,,
I493,category,Ventricular premature depolarization,I49,,
I494,category,Other and unspecified premature depolarization,I49,,
I495,category,Sick sinus syndrome,I49,,
I498,category,Other specified cardiac arrhythmias,I49,,
I499,category,"Cardiac arrhythmia, unspecified",I49,,
I50,category,Heart failure,I30-I52,,
I500,category,Congestive heart failure,I50,,
I501,category,Left ventricular failure,I50,,
I509,category,"Heart failure, unspecified",I50,,
I51,category,Complications and ill-defined descriptions of heart disease,I30-I52,,
I510,category,"Cardiac septal defect, acquired",I51,,
I511,category,"Rupture of chordae tendineae, not elsewhere classified",I51,,
I512,category,"Rupture of papillary muscle, not elsewhere classified",I51,,
